========================================
Ramanujan Machine (GPU)
========================================
Polynomial degree: 3
Coefficient range: [-5, 5]
CF evaluation depth: 500 terms
Total candidates: 214358881
GPU: 0
Constants: pi, e, ln(2), gamma, Catalan, zeta(3), Gauss, Lemniscate, sqrt(2), phi
========================================

  HIT: P=(5,5,5,5) Q=(-4,-5,-5,-5) → 4 = ^(4/1)
  HIT: P=(3,5,5,5) Q=(-2,-5,-5,-5) → 2 = ^(2/1)
  HIT: P=(1,-5,-5,-5) Q=(2,-5,-5,-5) → 2 = ^(2/1)
  HIT: P=(3,-5,-5,-5) Q=(4,-5,-5,-5) → 4 = ^(4/1)
  HIT: P=(1,-4,-5,-5) Q=(2,-4,-5,-5) → 2 = ^(2/1)
  HIT: P=(3,-4,-5,-5) Q=(4,-4,-5,-5) → 4 = ^(4/1)
  HIT: P=(3,3,5,5) Q=(-2,-3,-5,-5) → 2 = ^(2/1)
  HIT: P=(1,-3,-5,-5) Q=(2,-3,-5,-5) → 2 = ^(2/1)
  HIT: P=(5,3,5,5) Q=(-4,-3,-5,-5) → 4 = ^(4/1)
  HIT: P=(5,2,5,5) Q=(-4,-2,-5,-5) → 4 = ^(4/1)
  HIT: P=(5,4,5,5) Q=(-4,-4,-5,-5) → 4 = ^(4/1)
  HIT: P=(3,2,5,5) Q=(-2,-2,-5,-5) → 2 = ^(2/1)
  HIT: P=(4,1,5,0) Q=(-2,-2,-5,-5) → 2 = ^(2/1)
  HIT: P=(3,-3,-5,-5) Q=(4,-3,-5,-5) → 4 = ^(4/1)
  HIT: P=(5,1,5,5) Q=(-4,-1,-5,-5) → 4 = ^(4/1)
  HIT: P=(-2,-1,-5,0) Q=(0,-1,-5,-5) → 0.25 = ^(-4/1)
  HIT: P=(3,-2,-5,-5) Q=(4,-2,-5,-5) → 4 = ^(4/1)
  HIT: P=(1,-2,-5,-5) Q=(2,-2,-5,-5) → 2 = ^(2/1)
  HIT: P=(3,-1,-5,-5) Q=(4,-1,-5,-5) → 4 = ^(4/1)
  HIT: P=(3,0,5,5) Q=(-2,0,-5,-5) → 2 = ^(2/1)
  HIT: P=(5,0,5,5) Q=(-4,0,-5,-5) → 4 = ^(4/1)
  HIT: P=(1,0,-5,-5) Q=(2,0,-5,-5) → 2 = ^(2/1)
  HIT: P=(3,0,-5,-5) Q=(4,0,-5,-5) → 4 = ^(4/1)
  HIT: P=(3,4,5,5) Q=(-2,-4,-5,-5) → 2 = ^(2/1)
  HIT: P=(3,1,5,5) Q=(-2,-1,-5,-5) → 2 = ^(2/1)
  HIT: P=(1,-1,-5,-5) Q=(2,-1,-5,-5) → 2 = ^(2/1)
  HIT: P=(5,-1,5,5) Q=(-4,1,-5,-5) → 4 = ^(4/1)
  0.5% (1000000/214358881) 27 hits, 9586454 candidates/sec, ETA 22s
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
  HIT: P=(0) Q=(0) → 0 = (0 + 0*)/0
