P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(3,3,3,3,3)","(-2,-3,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,-3,-3,-3,-3)","(2,-3,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,2,3,3,3)","(-2,-2,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,-2,-3,-3,-3)","(2,-2,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,1,3,3,3)","(-2,-1,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,-1,-3,-3,-3)","(2,-1,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,0,3,3,3)","(-2,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,0,-3,-3,-3)","(2,0,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,-1,3,3,3)","(-2,1,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,1,-3,-3,-3)","(2,1,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,-2,3,3,3)","(-2,2,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,2,-3,-3,-3)","(2,2,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,-3,3,3,3)","(-2,3,-3,-3,-3)",2,sqrt(2),2,1,-999
"(1,3,-3,-3,-3)","(2,3,-3,-3,-3)",2,sqrt(2),2,1,-999
"(3,3,2,3,3)","(-2,-3,-2,-3,-3)",2,sqrt(2),2,1,-999
"(1,-3,-2,-3,-3)","(2,-3,-2,-3,-3)",2,sqrt(2),2,1,-999
"(3,2,2,3,3)","(-2,-2,-2,-3,-3)",2,sqrt(2),2,1,-999
