P_coeffs,Q_coeffs,value,constant,c0,c1,c2
"(1,-2,-3,-3)","(2,-2,-3,-3)",2,,2,1,-999
"(1,-3,-3,-3)","(2,-3,-3,-3)",2,,2,1,-999
"(3,1,3,3)","(-2,-1,-3,-3)",2,,2,1,-999
"(3,3,3,3)","(-2,-3,-3,-3)",2,,2,1,-999
"(3,2,3,3)","(-2,-2,-3,-3)",2,,2,1,-999
"(3,0,3,3)","(-2,0,-3,-3)",2,,2,1,-999
"(1,0,-3,-3)","(2,0,-3,-3)",2,,2,1,-999
"(-2,-1,-3,0)","(0,-1,-3,-3)",0.5,,-4,2,-999
"(3,-1,3,3)","(-2,1,-3,-3)",2,,2,1,-999
"(1,-1,-3,-3)","(2,-1,-3,-3)",2,,2,1,-999
"(2,2,2,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,3,2,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,-3,3,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,-2,3,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,-2,0,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,-1,0,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,0,0,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,1,0,-2)","(3,3,-3,-3)",2,,2,1,-999
"(1,3,-3,-3)","(2,3,-3,-3)",2,,2,1,-999
"(2,0,-2,0)","(3,3,-3,-3)",2,,2,1,-999
"(2,1,-2,0)","(3,3,-3,-3)",2,,2,1,-999
"(2,2,-2,0)","(3,3,-3,-3)",2,,2,1,-999
"(2,3,-2,0)","(3,3,-3,-3)",2,,2,1,-999
"(2,-3,-1,0)","(3,3,-3,-3)",2,,2,1,-999
"(2,3,-1,0)","(3,3,-3,-3)",2,,2,1,-999
"(2,-3,0,0)","(3,3,-3,-3)",2,,2,1,-999
"(2,-2,0,0)","(3,3,-3,-3)",2,,2,1,-999
"(2,-1,0,0)","(3,3,-3,-3)",2,,2,1,-999
"(2,-2,-2,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,-1,-2,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,0,-2,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,1,-2,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,2,-2,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,3,-2,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,-3,-1,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,-2,-1,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,-1,-1,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,3,3,-3)","(3,3,-3,-3)",2,,2,1,-999
"(2,-3,-3,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,-2,-3,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,-1,-3,-2)","(3,3,-3,-3)",2,,2,1,-999
"(2,0,0,0)","(3,3,-3,-3)",2,,2,1,-999
